total_ssds,m,k,l,cached_ssds,cached_m,cached_k,cached_l,cached_network_m,cached_network_k,cached_network_l,inter_replicas,intra_replicas,cached_write_ratio,network_m,network_k,network_l,capacity,qlc,simulation,dwpd,guaranteed_years,dwpd_limit,op_ratio,waf_ratio,ssd_read_bw,ssd_write_bw,qlc_cache,cached_dwpd_limit,cached_ssd_read_bw,cached_ssd_write_bw,write_through,config_file,nprocs,box_mttf,io_module_mttr,active_active,single_port_ssd,rebuild_bw_ratio,target_perf_ratio,simulation_year,up_time,cached_up_time,simulation_time,effective_up_time,credit_up_time,uncached_availability,cached_availability,availability,avail_nines,total_credit_ratio,effective_availability,eff_avail_nines,credit_availability,credit_avail_nines,operation_cost_per_year,repair_cost_per_year,down_cost_per_year,cached_ssd_repair_cost_per_year,uncached_ssd_repair_cost_per_year,initial_cost,cached_initial_cost,uncached_initial_cost,repair_cost_for_10_years,down_cost_for_10_years,cached_ssd_repair_cost_for_10_years,uncached_ssd_repair_cost_for_10_years,total_cost_for_10_years,effective_capacity,initial_cost_per_gb,cost_per_gb,avg_time_for_rebuilding,cached_mttf,mttf,total_mttdl,total_mttdl_count
48,47,1,0,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,5616396911.226291,7008000000.0,7008000000.0,5616396844.080759,5616396860.867143,0.8014264998895962,1.0,0.8014264998895962,0.7020787091322674,1.0000010450041485,0.8014264903083275,0.7020786881773462,0.8014264927036447,0.7020786934160766,3189453.120813106,1343596.69594375,1845856.424869356,0.0,1342502.656,5022578.0,0.0,4915200.0,13435966.9594375,18458564.24869356,0.0,13425026.559999999,36917109.20813106,6016000000000000.0,0.10435875166223403,0.7670609459801168,437.88157450184934,121666.66666666667,31633.333333333336,5461.267421003029,1028389
48,43,1,4,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,6014983184.917933,7008000000.0,7008000000.0,6014983113.17589,6014983131.111399,0.8583023951081526,1.0,0.8583023951081526,0.8486374905503186,0.9999888109002958,0.8583023848709889,0.8486374591740397,0.8583023874302795,0.8486374670181083,3200169.0418600766,1348965.9776937498,1851203.0641663265,0.0,1347877.376,5022578.0,0.0,4915200.0,13489659.776937498,18512030.641663264,0.0,13478773.76,37024268.41860077,5867900826446281.0,0.10699264840510636,0.7887034374314617,310.4637098079997,121666.66666666667,31633.333333333336,8280.837150669553,726354
48,39,1,8,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,6015917643.345303,7008000000.0,7008000000.0,6015917580.698562,6015917596.360247,0.8584357367787246,1.0,0.8584357367787246,0.8490463670178812,0.9999212723252405,0.8584357278394066,0.8490463395936124,0.8584357300742361,0.8490463464496796,3199694.2084017103,1348791.0685875001,1850903.1398142101,0.0,1347707.136,5022578.0,0.0,4915200.0,13487910.685875002,18509031.3981421,0.0,13477071.36,37019520.0840171,5840640000000000.0,0.10749202998301556,0.7922830392734593,311.7765819110406,121666.66666666667,31633.333333333336,8295.242963197079,725203
48,35,1,12,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,6016368900.431763,7008000000.0,7008000000.0,6016368827.653904,6016368845.84837,0.8585001284862676,1.0,0.8585001284862676,0.8492439544923576,0.9999047242598242,0.8585001181012991,0.8492439226185879,0.8585001206975413,0.8492439305870305,3200872.816593107,1349395.71712625,1851477.0994668568,0.0,1348319.872,5022578.0,0.0,4915200.0,13493957.1712625,18514770.99466857,0.0,13483198.719999999,37031306.16593107,5807407407407407.0,0.10810714764030613,0.7970705249363352,311.0411316365345,121666.66666666667,31633.333333333336,8288.787012603443,725824
48,31,1,16,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,6017446822.18935,7008000000.0,7008000000.0,6017446750.467979,6017446768.39832,0.8586539415224529,1.0,0.8586539415224529,0.8497162975764313,0.9999559275774554,0.8586539312882391,0.8497162661311792,0.8586539338467922,0.8497162739924912,3198454.6244945703,1348139.18798625,1850315.4365083203,0.0,1347049.856,5022578.0,0.0,4915200.0,13481391.8798625,18503154.365083203,0.0,13470498.559999999,37007124.244945705,5766000000000000.0,0.108883498092265,0.802270296673294,309.4085078419045,121666.66666666667,31633.333333333336,8302.341707997743,724757
48,27,1,20,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,6015610873.222441,7008000000.0,7008000000.0,6015610807.473407,6015610823.910666,0.8583919625032022,1.0,0.8583919625032022,0.8489120959298406,0.9999521196556526,0.8583919531212053,0.8489120671564081,0.8583919554667047,0.8489120743497665,3200123.7670308286,1348977.3024024998,1851146.4646283288,0.0,1347886.976,5022578.0,0.0,4915200.0,13489773.024024999,18511464.646283288,0.0,13478869.76,37023815.670308284,5712979591836735.0,0.10989401238140147,0.8100811291889511,311.4129992277367,121666.66666666667,31633.333333333336,8289.689168258112,725662
48,23,1,24,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,6017342458.196129,7008000000.0,7008000000.0,6017342388.332784,6017342405.79862,0.8586390494001326,1.0,0.8586390494001326,0.8496705430224524,0.9999427225747348,0.8586390394310479,0.8496705123950529,0.8586390419233191,0.8496705200519026,3198857.4112118934,1348352.80471125,1850504.6065006435,0.0,1347268.608,5022578.0,0.0,4915200.0,13483528.047112498,18505046.065006435,0.0,13472686.08,37011152.11211893,5642666666666667.0,0.11126339496691871,0.8198949694024456,310.2630651089504,121666.66666666667,31633.333333333336,8296.310029753096,725281
48,19,1,28,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,6016833446.203524,7008000000.0,7008000000.0,6016833376.86466,6016833394.199375,0.8585664164103202,1.0,0.8585664164103202,0.8494474545001534,0.9999428363502487,0.858566406516076,0.8494474241182921,0.8585664089896369,0.8494474317137568,3200328.386875214,1349088.2082850002,1851240.178590214,0.0,1348008.704,5022578.0,0.0,4915200.0,13490882.082850002,18512401.785902143,0.0,13480087.04,37025861.86875214,5544960000000000.0,0.11322394570925669,0.8346737818837318,311.7400895199479,121666.66666666667,31633.333333333336,8296.785467020056,725178
48,15,1,32,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,6019395078.090598,7008000000.0,7008000000.0,6019395011.17823,6019395027.9063225,0.8589319460745717,1.0,0.8589319460745717,0.8505713248333925,0.9999636129847413,0.858931936526574,0.8505712954387672,0.8589319389135734,0.8505713027874235,3199234.751309298,1348522.1478337501,1850712.6034755479,0.0,1347425.28,5022578.0,0.0,4915200.0,13485221.4783375,18507126.03475548,0.0,13474252.8,37014925.51309298,5400000000000000.0,0.11626337962962963,0.8568269794697448,308.7689852641008,121666.66666666667,31633.333333333336,8320.012219385384,723470
48,46,2,0,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,6946270107.305354,7008000000.0,7008000000.0,6946270025.933412,6946270046.276396,0.9911915107456271,1.0,0.9911915107456271,2.0550985711283403,0.6098248137942535,0.9911914991343338,2.0550979986445554,0.9911915020371569,2.05509814176542,2490927.832146725,1357066.0261075,1133861.806039225,0.0,1355980.8,5022578.0,0.0,4915200.0,13570660.261075001,11338618.060392251,0.0,13559808.0,29931856.32146725,5888000000000000.0,0.10662742017663043,0.635441922585497,112.53171322240517,121666.66666666667,31633.333333333336,81850.35434555566,84846
