total_ssds,m,k,l,cached_ssds,cached_m,cached_k,cached_l,cached_network_m,cached_network_k,cached_network_l,inter_replicas,intra_replicas,cached_write_ratio,network_m,network_k,network_l,capacity,qlc,simulation,dwpd,guaranteed_years,dwpd_limit,op_ratio,waf_ratio,ssd_read_bw,ssd_write_bw,qlc_cache,cached_dwpd_limit,cached_ssd_read_bw,cached_ssd_write_bw,write_through,config_file,nprocs,box_mttf,io_module_mttr,active_active,single_port_ssd,rebuild_bw_ratio,target_perf_ratio,simulation_year,up_time,cached_up_time,simulation_time,effective_up_time,credit_up_time,uncached_availability,cached_availability,availability,avail_nines,total_credit_ratio,effective_availability,eff_avail_nines,credit_availability,credit_avail_nines,operation_cost_per_year,repair_cost_per_year,down_cost_per_year,cached_ssd_repair_cost_per_year,uncached_ssd_repair_cost_per_year,initial_cost,cached_initial_cost,uncached_initial_cost,repair_cost_for_10_years,down_cost_for_10_years,cached_ssd_repair_cost_for_10_years,uncached_ssd_repair_cost_for_10_years,total_cost_for_10_years,effective_capacity,initial_cost_per_gb,cost_per_gb,avg_time_for_rebuilding,cached_mttf,mttf,total_mttdl,total_mttdl_count
48,47,1,0,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,5618441395.104506,7008000000.0,7008000000.0,5618441332.44475,5618441348.109691,0.8017182356028119,1.0,0.8017182356028119,0.7027172252089212,1.0000011990895001,0.8017182266616367,0.7027172056251589,0.8017182288969308,0.7027172105211,3188058.0268606534,1342899.00717625,1845159.0196844037,0.0,1341804.672,5022578.0,0.0,4915200.0,13428990.0717625,18451590.196844038,0.0,13418046.72,36903158.268606536,6016000000000000.0,0.10435875166223403,0.766771074397576,435.8018728310398,121666.66666666667,31633.333333333336,5467.313257094545,1027631
48,46,2,0,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,6945710441.437177,7008000000.0,7008000000.0,6945710359.9747925,6945710380.340388,0.9911116497484556,1.0,0.9911116497484556,2.051178840057744,0.6097836912826631,0.991111638124257,2.051178272087101,0.9911116410303066,2.0511784140796907,2490150.0881313425,1356630.387485,1133519.7006463425,0.0,1355537.408,5022578.0,0.0,4915200.0,13566303.874850001,11335197.006463425,0.0,13555374.08,29924078.881313425,5888000000000000.0,0.10662742017663043,0.63527681048984,112.3520332060727,121666.66666666667,31633.333333333336,81472.01278170377,85233
48,45,3,0,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,7006192271.9044,7008000000.0,7008000000.0,7006192194.474905,7006192213.832279,0.999742047931564,1.0,0.999742047931564,3.5884609853066376,0.0397644834365841,0.9997420368828346,3.588442383790983,0.999742039645017,3.5884470340952506,1432157.9792368517,1358178.68350375,73979.29573310164,0.0,1357082.88,5022578.0,0.0,4915200.0,13581786.8350375,739792.9573310164,0.0,13570828.799999999,19344157.792368516,5760000000000000.0,0.10899691840277778,0.41979509098021955,93.60248409605376,121666.66666666667,31633.333333333336,1801365.5423281398,3873
48,44,4,0,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,7007955373.734566,7008000000.0,7008000000.0,7007955304.396785,7007955321.73123,0.9999936320968273,1.0,0.9999936320968273,5.196003548898117,0.00158321910441623,0.9999936222027376,5.1953292902372565,0.99999362467626,5.195497756785447,1361489.8889349431,1358543.83224125,2946.056693693251,0.0,1357464.192,5022578.0,0.0,4915200.0,13585438.3224125,29460.56693693251,0.0,13574641.92,18637476.88934943,5632000000000000.0,0.11147412109375,0.4136513869262569,92.93075044939884,121666.66666666667,31633.333333333336,42635975.90765212,134
48,43,5,0,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,7007996067.944695,7008000000.0,7008000000.0,7007995995.045338,7007996013.270177,0.999999438919049,1.0,0.999999438919049,6.250974475551377,0.00037307223497242304,0.9999994285167434,6.242996489100846,0.9999994311173198,6.244977288265026,1359494.6169427037,1358800.307835,694.3091077035522,0.0,1357708.416,5022578.0,0.0,4915200.0,13588003.07835,6943.091077035522,0.0,13577084.16,18617524.169427037,5504000000000000.0,0.11406654251453488,0.42281804527223465,92.90461897653964,121666.66666666667,31633.333333333336,205796192.4323961,8
48,42,6,0,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,7007999888.272264,7008000000.0,7008000000.0,7007999805.249648,7007999826.005301,0.9999999840571152,1.0,0.9999999840571152,7.797433092282713,0.0003415570230161296,0.9999999722102808,7.556115841627485,0.9999999751719894,7.6050580770409555,1358668.5519197888,1358033.15647875,635.3954410387103,0.0,1356941.824,5022578.0,0.0,4915200.0,13580331.5647875,6353.954410387103,0.0,13569418.24,18609263.51919789,5376000000000000.0,0.11678241257440478,0.4326930691777783,92.97850646802586,121666.66666666667,31633.333333333336,0,0
48,47,1,0,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier-singleport.json,20,0,0,False,True,0.2,0.8,10,6013977299.992334,7008000000.0,7008000000.0,6013977299.992334,6013977299.992334,0.8581588613002761,1.0,0.8581588613002761,0.8481977908799136,0.9999047474171064,0.8581588613002761,0.8481977908799136,0.8581588613002761,0.8481977908799136,3197527.948108289,1349086.71684125,1848441.231267039,0.0,1347997.952,4995306.0,0.0,4915200.0,13490867.1684125,18484412.31267039,0.0,13479979.52,36970585.48108289,6016000000000000.0,0.10379209607712765,0.7681720719972341,311.31168259483405,121666.66666666667,31633.333333333336,8298.920327534313,724707
48,46,2,0,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier-singleport.json,20,0,0,False,True,0.2,0.8,10,6980285148.456365,7008000000.0,7008000000.0,6980285148.456365,6980285148.456365,0.9960452552021068,1.0,0.9960452552021068,2.4028815365513245,0.3708922383236021,0.9960452552021068,2.4028815365513245,0.9960452552021068,2.4028815365513245,2049805.0474485126,1360087.2285799999,689717.8188685128,0.0,1359002.624,4995306.0,0.0,4915200.0,13600872.285799999,6897178.1886851275,0.0,13590026.24,25493356.474485125,5888000000000000.0,0.10604844599184783,0.5412142593937909,67.2797873165631,121666.66666666667,31633.333333333336,192081.92454831165,36328
48,45,3,0,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier-singleport.json,20,0,0,False,True,0.2,0.8,10,7006761097.322033,7008000000.0,7008000000.0,7006761097.322033,7006761097.322033,0.9998232159420709,1.0,0.9998232159420709,3.7525569014586537,0.06837085762037895,0.9998232159420709,3.7525569014586537,0.9998232159420709,3.7525569014586537,1486390.8909898119,1359300.981585,127089.90940481184,0.0,1358214.528,4995306.0,0.0,4915200.0,13593009.815849999,1270899.0940481185,0.0,13582145.28,19859214.909898117,5760000000000000.0,0.108405078125,0.4309725457877196,58.58845731048194,121666.66666666667,31633.333333333336,5190830.917847387,1332
48,44,4,0,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier-singleport.json,20,0,0,False,True,0.2,0.8,10,7007423525.465659,7008000000.0,7008000000.0,7007423525.465659,7007423525.465659,0.9999177405059445,1.0,0.9999177405059445,4.084813965986382,0.05548211165376625,0.9999177405059445,4.084813965986382,0.9999177405059445,4.084813965986382,1462652.2422858877,1359508.8101625,103143.43212338758,0.0,1358420.224,4995306.0,0.0,4915200.0,13595088.101625,1031434.3212338758,0.0,13584202.239999998,19621828.42285888,5632000000000000.0,0.11086882990056818,0.43549867770904827,58.37573667214516,121666.66666666667,31633.333333333336,96513463.1931528,37
