total_ssds,m,k,l,cached_ssds,cached_m,cached_k,cached_l,cached_network_m,cached_network_k,cached_network_l,inter_replicas,intra_replicas,cached_write_ratio,network_m,network_k,network_l,capacity,qlc,simulation,dwpd,guaranteed_years,dwpd_limit,op_ratio,waf_ratio,ssd_read_bw,ssd_write_bw,qlc_cache,cached_dwpd_limit,cached_ssd_read_bw,cached_ssd_write_bw,write_through,config_file,nprocs,box_mttf,io_module_mttr,active_active,single_port_ssd,rebuild_bw_ratio,target_perf_ratio,simulation_year,up_time,cached_up_time,simulation_time,effective_up_time,credit_up_time,uncached_availability,cached_availability,availability,avail_nines,total_credit_ratio,effective_availability,eff_avail_nines,credit_availability,credit_avail_nines,operation_cost_per_year,repair_cost_per_year,down_cost_per_year,cached_ssd_repair_cost_per_year,uncached_ssd_repair_cost_per_year,initial_cost,cached_initial_cost,uncached_initial_cost,repair_cost_for_10_years,down_cost_for_10_years,cached_ssd_repair_cost_for_10_years,uncached_ssd_repair_cost_for_10_years,total_cost_for_10_years,effective_capacity,initial_cost_per_gb,cost_per_gb,avg_time_for_rebuilding,cached_mttf,mttf,total_mttdl,total_mttdl_count
48,1,0,0,0,0,0,0,15,0,0,0,0,0,15,1,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,6971649962.222166,7008000000.0,7008000000.0,7007913116.951739,6971649901.86448,0.994813065385583,1.0,0.994813065385583,2.285089226611558,1.0000005988267635,0.9999876023047574,4.906659043582698,0.9948130567728996,2.2850885054847128,3197808.3826239966,1347774.7373875,1850033.6452364968,0.0,1346685.184,5022578.0,0.0,4915200.0,13477747.373875,18500336.452364966,0.0,13466851.84,37000661.826239966,5760000000000000.0,0.10899691840277778,0.8029657514374993,327.4887440689043,121666.66666666667,31633.333333333336,5743.463755742767,1127588
48,1,0,0,0,0,0,0,14,0,0,0,0,0,14,2,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,7004049720.2973175,7008000000.0,7008000000.0,7007901050.510836,7004049659.312686,0.9994363185355761,1.0,0.9994363185355761,3.2489662458801543,0.2464964275906914,0.9999858804952676,4.850180536694793,0.9994363098334312,3.2489595412702386,1812178.5688418536,1354495.51081,457683.0580318537,0.0,1353412.864,5022578.0,0.0,4915200.0,13544955.108099999,4576830.580318537,0.0,13534128.64,23144363.688418537,5376000000000000.0,0.11678241257440478,0.5381408967731244,186.64923175605816,121666.66666666667,31633.333333333336,175486.85138908957,39181
48,1,0,0,0,0,0,0,13,0,0,0,0,0,13,3,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,7007696965.736518,7008000000.0,7008000000.0,7007898056.4872465,7007696907.174124,0.9999567588094347,1.0,0.9999567588094347,4.364102357067765,0.02440331123898224,0.9999854532658742,4.837234498797626,0.9999567504529286,4.364018436301848,1400325.508464033,1355002.2142837502,45323.29418028296,0.0,1353912.96,5022578.0,0.0,4915200.0,13550022.142837502,453232.9418028296,0.0,13539129.6,19025833.08464033,4992000000000000.0,0.1257656750801282,0.47640808004407886,171.9204971797123,121666.66666666667,31633.333333333336,797898.262102195,7620
48,1,0,0,0,0,0,0,12,0,0,0,0,0,12,4,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,7007983538.147036,7008000000.0,7008000000.0,7007897922.815382,7007983473.042572,0.9999976509913008,1.0,0.9999976509913008,5.629115374871389,0.0017258667783346328,0.9999854341916926,4.83666540985557,0.9999976417012802,5.627401184769845,1358559.4204668188,1355353.43095625,3205.989510568695,0.0,1354253.44,5022578.0,0.0,4915200.0,13553534.3095625,32059.895105686952,0.0,13542534.399999999,18608172.204668187,4608000000000000.0,0.1362461480034722,0.5047789769061466,170.8590563580364,121666.66666666667,31633.333333333336,26759253.275659323,136
48,1,0,0,0,0,0,0,11,0,0,0,0,0,11,5,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,7007999326.17427,7008000000.0,7008000000.0,7007901229.294384,7007999262.544864,0.9999999038490681,1.0,0.9999999038490681,7.017046502276031,0.000294049482098421,0.9999859060066187,4.850965936789609,0.9999998947695297,6.97785848847716,1355563.1197373339,1355016.9890475,546.1306898338714,0.0,1353927.424,5022578.0,0.0,4915200.0,13550169.890475001,5461.306898338715,0.0,13539274.240000002,18578209.197373338,4224000000000000.0,0.14863216145833333,0.5497812854336334,170.57335265002285,121666.66666666667,31633.333333333336,234967576.3641457,1
48,1,0,0,0,0,0,0,23,0,0,0,0,0,23,1,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,6949637211.215287,7008000000.0,7008000000.0,7007882154.280563,6949637152.4062195,0.9916719764861996,1.0,0.9916719764861996,2.079458057284825,1.0000005561420484,0.9999831841153772,4.7742802810891085,0.9916719680944948,2.0794576196696712,3191795.6233589337,1344768.3980750002,1847027.2252839336,0.0,1343689.088,5022578.0,0.0,4915200.0,13447683.980750002,18470272.252839334,0.0,13436890.879999999,36940534.23358934,5888000000000000.0,0.10662742017663043,0.7842334883149911,426.06565190487964,121666.66666666667,31633.333333333336,3803.983721199773,1658620
48,1,0,0,0,0,0,0,22,0,0,0,0,0,22,2,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,6998629924.349075,7008000000.0,7008000000.0,7007857381.485237,6998629858.615842,0.9986629458260666,1.0,0.9986629458260666,2.8738509959065386,0.8035915588477414,0.9999796491845373,4.691418183792319,0.9986629364463244,2.8738479492416595,2844492.117341898,1353345.2055275,1491146.911814398,0.0,1352252.16,5022578.0,0.0,4915200.0,13533452.055275,14911469.11814398,0.0,13522521.6,33467499.17341898,5632000000000000.0,0.11147412109375,0.742797833216863,208.08821234344566,121666.66666666667,31633.333333333336,83773.18204139001,83044
48,1,0,0,0,0,0,0,21,0,0,0,0,0,21,3,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,7006864810.871682,7008000000.0,7008000000.0,7007854168.206379,7006864747.253852,0.9998380152499546,1.0,0.9998380152499546,3.7905258699196906,0.07092194191353988,0.9999791906687184,4.681741875837926,0.9998380061720679,3.7905015320380957,1486253.421314254,1354564.01257875,131689.40873550397,0.0,1353474.432,5022578.0,0.0,4915200.0,13545640.1257875,1316894.0873550395,0.0,13534744.32,19885112.21314254,5376000000000000.0,0.11678241257440478,0.46235844989635744,175.29131907691993,121666.66666666667,31633.333333333336,564467.0366039431,11970
48,1,0,0,0,0,0,0,20,0,0,0,0,0,20,4,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,7007896946.664053,7008000000.0,7008000000.0,7007854755.04088,7007896885.352123,0.9999852949006924,1.0,0.9999852949006924,4.832532038237343,0.009172353562540835,0.9999792744065183,4.683493024487402,0.9999852861518441,4.832273730107057,1371690.8761770981,1354658.58258,17032.2935970981,0.0,1353578.752,5022578.0,0.0,4915200.0,13546585.8258,170322.93597098102,0.0,13535787.520000001,18739486.761770982,5120000000000000.0,0.122621533203125,0.45750700101979935,170.94928226243186,121666.66666666667,31633.333333333336,2235128.5221259315,2589
48,1,0,0,0,0,0,0,19,0,0,0,0,0,19,5,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,0,False,False,0.2,0.8,10,7007992522.647411,7008000000.0,7008000000.0,7007854712.312173,7007992456.655453,0.9999989330261717,1.0,0.9999989330261717,5.971846233217257,0.0008917889783276676,0.9999792683093854,4.683365280895176,0.9999989236095109,5.968030148292911,1355871.2099886558,1354215.6274475,1655.5825411558692,0.0,1353118.208,5022578.0,0.0,4915200.0,13542156.274474999,16555.825411558693,0.0,13531182.080000002,18581290.09988656,4864000000000000.0,0.12907529810855264,0.47752081876764385,170.73589316635537,121666.66666666667,31633.333333333336,50778455.26753209,31
