total_ssds,m,k,l,cached_ssds,cached_m,cached_k,cached_l,cached_network_m,cached_network_k,cached_network_l,inter_replicas,intra_replicas,cached_write_ratio,network_m,network_k,network_l,capacity,qlc,simulation,dwpd,guaranteed_years,dwpd_limit,op_ratio,waf_ratio,ssd_read_bw,ssd_write_bw,qlc_cache,cached_dwpd_limit,cached_ssd_read_bw,cached_ssd_write_bw,write_through,config_file,nprocs,box_mttf,io_module_mttr,active_active,single_port_ssd,rebuild_bw_ratio,target_perf_ratio,simulation_year,up_time,cached_up_time,simulation_time,effective_up_time,credit_up_time,uncached_availability,cached_availability,availability,avail_nines,total_credit_ratio,effective_availability,eff_avail_nines,credit_availability,credit_avail_nines,operation_cost_per_year,repair_cost_per_year,down_cost_per_year,cached_ssd_repair_cost_per_year,uncached_ssd_repair_cost_per_year,initial_cost,cached_initial_cost,uncached_initial_cost,repair_cost_for_10_years,down_cost_for_10_years,cached_ssd_repair_cost_for_10_years,uncached_ssd_repair_cost_for_10_years,total_cost_for_10_years,effective_capacity,initial_cost_per_gb,cost_per_gb,avg_time_for_rebuilding,cached_mttf,mttf,total_mttdl,total_mttdl_count
48,43,1,4,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,4.0,False,False,0.2,0.8,10,6013964823.909877,7008000000.0,7008000000.0,6013963759.233143,6013964025.402327,0.8581570810373683,1.0,0.8581570810373683,0.8481923400388367,0.9999200253642767,0.8581569291143183,0.8481918748812705,0.8581569670950808,0.8481919911706155,3507103.8031519842,1502503.1665899998,2004600.6365619844,0.0,1347335.808,5022578.0,0.0,4915200.0,15025031.665899998,20046006.365619846,0.0,13473358.08,40093616.031519845,5867900826446281.0,0.10699264840510636,0.8540877141877615,309.5567455325053,121666.66666666667,31633.333333333336,8290.509937009732,725381
48,42,2,4,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,4.0,False,False,0.2,0.8,10,6979151115.312561,7008000000.0,7008000000.0,6979149859.938648,6979150173.782126,0.9958834354041897,1.0,0.9958834354041897,2.3854650653893787,0.3544899822422211,0.9958832562697842,2.3854461672549414,0.9958833010533856,2.3854508917114594,2228198.589556836,1513597.9282475,714600.661309336,0.0,1358276.864,5022578.0,0.0,4915200.0,15135979.282475,7146006.613093359,0.0,13582768.64,27304563.89556836,5598148760330579.0,0.11214818985319822,0.6096784192538138,68.3876327854981,121666.66666666667,31633.333333333336,179889.2966702165,38771
48,41,3,4,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,4.0,False,False,0.2,0.8,10,7007452016.991773,7008000000.0,7008000000.0,7007450695.432934,7007451025.822643,0.9999218060775932,1.0,0.9999218060775932,4.106827001003498,0.015091346843792547,0.9999216174989917,4.105780883282135,0.9999216646436421,4.106042176570394,1544296.6586077162,1513870.5661525,30426.092455216156,0.0,1358592.384,5022578.0,0.0,4915200.0,15138705.661525,304260.92455216154,0.0,13585923.84,20465544.58607716,5334743801652892.0,0.11768554842417708,0.479534382226008,58.54824120950153,121666.66666666667,31633.333333333336,6106391.4733448345,1121
48,40,4,4,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,4.0,False,False,0.2,0.8,10,7007974401.490123,7008000000.0,7008000000.0,7007973155.4082365,7007973466.928709,0.9999963472445952,1.0,0.9999963472445952,5.437379407967569,0.003906249332753387,0.9999961694361068,5.416737289301476,0.999996213888229,5.421806569240059,1522188.5221581035,1514311.300455,7877.2217031034415,0.0,1359162.496,5022578.0,0.0,4915200.0,15143113.00455,78772.21703103441,0.0,13591624.96,20244463.221581034,5077685950413223.0,0.12364337931315106,0.4983683369570527,58.34690004057504,121666.66666666667,31633.333333333336,84482222.80134408,44
48,39,5,4,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,4.0,False,False,0.2,0.8,10,7007987530.162799,7008000000.0,7008000000.0,7007986208.929178,7007986539.237582,0.9999982206282533,1.0,0.9999982206282533,5.749733309541193,0.003614051405895218,0.9999980320960585,5.705996104435257,0.999998079229107,5.716524434116808,1520825.6173058343,1513540.41891875,7285.198387084385,0.0,1358304.64,5022578.0,0.0,4915200.0,15135404.1891875,72851.98387084385,0.0,13583046.399999999,20230834.173058342,4939230443974630.0,0.1271093254549159,0.5119935788210173,58.34944381143535,121666.66666666667,31633.333333333336,82665069.8646848,1
48,38,6,4,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,0,4.0,False,False,0.2,0.8,10,7007988076.79612,7008000000.0,7008000000.0,7007986849.525056,7007987156.342822,0.9999982986295833,1.0,0.9999982986295833,5.769201122954634,0.0035885071461595774,0.9999981235052876,5.726652655008626,0.9999981672863616,5.736905388270646,1521126.4466158524,1513891.480515,7234.966100852568,0.0,1358577.024,5022578.0,0.0,4915200.0,15138914.805149999,72349.66100852568,0.0,13585770.24,20233842.466158524,4800831168831169.0,0.1307736572941915,0.5268317546116901,58.32783904518059,121666.66666666667,31633.333333333336,0,0
48,43,1,4,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier-singleport.json,20,0,4.0,False,True,0.2,0.8,10,6005091460.166227,7008000000.0,7008000000.0,6005091460.166227,6005091460.166227,0.8568909047040849,1.0,0.8568909047040849,0.8443327637852811,1.0000008955535948,0.8568909047040849,0.8443327637852811,0.8568909047040849,0.8443327637852811,3351431.73831831,1425949.70697375,1925482.0313445604,0.0,1347780.992,4995306.0,0.0,4915200.0,14259497.0697375,19254820.313445605,0.0,13477809.920000002,38509623.3831831,5867900826446281.0,0.10641169107456733,0.8203449692269532,311.4039020359252,121666.66666666667,31633.333333333336,8280.59323250579,726122
48,42,2,4,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier-singleport.json,20,0,4.0,False,True,0.2,0.8,10,6970119189.917719,7008000000.0,7008000000.0,6970119189.917719,6970119189.917719,0.9945946332645147,1.0,0.9945946332645147,2.267174835328716,0.9495165014853463,0.9945946332645147,2.267174835328716,0.9945946332645147,2.267174835328716,3276140.264669597,1437191.0752424998,1838949.1894270976,0.0,1358968.96,4995306.0,0.0,4915200.0,14371910.752424998,18389491.894270975,0.0,13589689.6,37756708.64669597,5598148760330579.0,0.11153923854698128,0.8430623734547379,68.40558383894685,121666.66666666667,31633.333333333336,179204.5938587819,38917
48,41,3,4,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier-singleport.json,20,0,4.0,False,True,0.2,0.8,10,6998358042.971719,7008000000.0,7008000000.0,6998358042.971719,6998358042.971719,0.9986241499674257,1.0,0.9986241499674257,2.8614289015473675,0.9211120813729131,0.9986241499674257,2.8614289015473675,0.9986241499674257,2.8614289015473675,3221203.365056751,1437229.88427,1783973.4807867508,0.0,1359016.448,4995306.0,0.0,4915200.0,14372298.8427,17839734.80786751,0.0,13590164.48,37207339.65056751,5334743801652892.0,0.1170465299208061,0.8718164600294245,58.67122755941726,121666.66666666667,31633.333333333336,5929900.204734342,1161
48,40,4,4,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier-singleport.json,20,0,4.0,False,True,0.2,0.8,10,6998951830.468543,7008000000.0,7008000000.0,6998951830.468543,6998951830.468543,0.9987088799184565,1.0,0.9987088799184565,2.88903336398726,0.9186061734073947,0.9987088799184565,2.88903336398726,0.9987088799184565,2.88903336398726,3215289.0042464165,1436676.86963875,1778612.1346076664,0.0,1358582.144,4995306.0,0.0,4915200.0,14366768.696387501,17786121.346076664,0.0,13585821.440000001,37148196.04246417,5077685950413223.0,0.12297201049804687,0.914496199775831,58.421264594902254,121666.66666666667,31633.333333333336,90849044.75957105,33
